"imagename","word","list","difficulty"
"B-teacher","teacher","B",-1.92887484660201
"B-throomba","throomba","B",-1.25673071525721
"B-time","time","B",-2.57206758877629
"B-toy","toy","B",-1.81339568883849
"B-tried","tried","B",-2.27983765719675
"B-truck","truck","B",-2.10824791552919
"B-understand","understand","B",-1.25482002378252
"B-unger","unger","B",-1.12028283345963
"B-wase","wase","B",1.61705000036441
"B-went","went","B",-1.27613901155049
"B-wood","wood","B",-1.57392042975063
"B-yos","yos","B",-1.50777035695697
"B-ypla","ypla","B",-1.77059574667854
"C-agreed","agreed","C",-0.652134019283505
"C-albust","albust","C",-0.843190863215457
"C-alk","alk","C",-0.991145083092873
"C-almost","almost","C",-1.4436631101858
"C-an","an","C",0.932140032760472
"C-ap","ap","C",-1.64605602904916
"C-appropriates","appropriates","C",1.65875643495758
"C-banny","banny","C",-0.162457003530696
"C-begin","begin","C",-1.2566359286329
"C-brubs","brubs","C",-0.415792129841766
"C-candy","candy","C",-2.31156129475227
"C-cas","cas","C",-1.40881167210923
"C-chance","chance","C",-0.431056770349499
"C-chanding","chanding","C",0.858622538813451
"C-che","che","C",-2.03836582669988
"C-cok","cok","C",-1.30244213107921
"C-collosks","collosks","C",-1.23220531454076
"C-complete","complete","C",-1.32946758066408
"C-compliment","compliment","C",-0.235396257967837
"C-configuration","configuration","C",0.935052359137294
"C-contain","contain","C",-0.239037029628287
"C-cotosks","cotosks","C",-0.622265758499199
"C-daople","daople","C",-1.34448542492571
"C-distance","distance","C",-0.542886101762249
"C-dogo","dogo","C",-0.70928481048672
"C-drustion","drustion","C",0.336663075315131
"C-duttery","duttery","C",-0.0690903449273508
"C-eamn","eamn","C",-2.42523900129206
"C-fafever","fafever","C",0.160844727320253
"C-fistory","fistory","C",-0.372774739508938
"C-freat","freat","C",1.02869719187591
"C-garden","garden","C",-1.41771600421427
"C-garment","garment","C",2.1330877580943
"C-good","good","C",-3.47821774316194
"C-grasshopper","grasshopper","C",0.0528939181574151
"C-gravel","gravel","C",0.63833032468839
"C-guoys","guoys","C",-1.54326925816752
"C-gurynh","gurynh","C",-1.83817458661315
"C-hane","hane","C",-0.614827982080149
"C-hello","hello","C",-3.14203173544172
"C-him","him","C",-1.61812577860525
"C-history","history","C",-0.966224765139053
"C-hot","hot","C",-2.53817368515097
"C-hungry","hungry","C",-2.10485189304004
"C-imagine","imagine","C",-1.00998167087931
"C-investigate","investigate","C",-0.828046052299036
"C-khtna","khtna","C",-2.22958675160477
"C-lame","lame","C",0.1105387829771
"C-liffs","liffs","C",-0.211694935478212
"C-loleh","loleh","C",-1.62800656987813
"C-look","look","C",-1.87155779841121
"C-molent","molent","C",-0.380517412154222
"C-money","money","C",-2.25477819688175
"C-more","more","C",-1.7193414439129
"C-morning","morning","C",-1.60865314600277
"C-name","name","C",-2.15165693282525
"C-naw","naw","C",0.712195981444811
"C-oban","oban","C",-1.45624373668017
"C-open","open","C",-2.70323348549284
"C-orn","orn","C",-2.15542022743867
"C-overwhelm","overwhelm","C",0.656485601519957
"C-pame","pame","C",-0.153409249678497
"C-pealt","pealt","C",0.350744987134001
"C-people","people","C",-2.60219422606609
"C-phlere","phlere","C",-1.04204473029739
"C-pretty","pretty","C",-0.967035453270147
"C-qualify","qualify","C",1.15903993044235
"C-question","question","C",-0.998790237724823
"C-rackle","rackle","C",2.46541456864547
"C-rebosks","rebosks","C",-1.20022314991163
"C-round","round","C",-2.21514560961169
"C-runey","runey","C",-0.0459204260518284
"C-scays","scays","C",-0.43163153155433
"C-short","short","C",-2.19378726123372
"C-sick","sick","C",-1.26229859205277
"C-slace","slace","C",0.73855492818011
"C-snose","snose","C",1.15981641838721
"C-spy","spy","C",-0.734667809935962
"C-swane","swane","C",-0.0763952479346934
"C-through","through","C",-1.34589425704578
"C-twew","twew","C",-1.12480512359935
"C-utashing","utashing","C",-1.3300701282406
"C-watch","watch","C",-2.46946518462174
"C-woft","woft","C",0.0603992238480686
